slug,display_name,category,cluster_label,rule_label,stage,persistence,volatility,F_T,F_S,slope_norm,recent_change,duration_ratio,cv_resid,peak_sharpness,time_to_peak,peak_value,current_value,n_weeks,used_period,cluster
bag_14,패딩백,bag,마이크로,마이크로,도입,-1.7909,1.0128,0.0094,0.2867,0.1857,0.1094,0.0916,2.2154,1.9417,1.0,100.0,6.0,262,52,0
bag_15,더플백,bag,스테디,마이크로,성장,2.1201,-1.1114,0.5238,0.4087,0.2107,0.1927,0.4924,0.2614,1.9802,1.0,100.0,52.0,262,52,2
bag_16,메신저백,bag,메가,메가,쇠퇴/잔존,1.2257,-0.7893,0.6619,0.5335,-0.1289,-0.0178,0.1947,0.1835,2.8571,0.2184,100.0,19.0,262,52,1
bag_19,슬링백,bag,스테디,메가,쇠퇴/잔존,1.7339,-1.3297,0.1728,0.511,0.0414,0.0662,0.6947,0.1832,1.6949,1.0,100.0,57.0,262,52,2
bag_20,캔버스백,bag,마이크로,마이크로,성장,-0.378,-0.5306,0.067,0.2464,0.1202,0.4076,0.3397,0.8232,1.9048,1.0,100.0,45.0,262,52,0
bag_a01,새들백,bag,마이크로,마이크로,쇠퇴/잔존,-1.9189,2.7015,0.0,0.0,-0.0,0.0,0.0725,4.0136,1.3333,0.0,100.0,30.0,262,52,0
bag_a03,캐리어,bag,스테디,메가,성장,3.032,-1.1998,0.845,0.6608,0.1803,0.1496,0.4237,0.1086,2.1505,1.0,100.0,51.0,262,52,2
bag_a04,쇼퍼백,bag,메가,마이크로,도입,-0.7247,-0.4046,0.091,0.2986,-0.1211,0.2569,0.2481,0.8804,2.0408,0.0,100.0,31.0,262,52,1
bag_a08,벨트백,bag,마이크로,마이크로,쇠퇴/잔존,-1.6257,0.8327,0.0,0.0,-0.1057,-0.0325,0.1336,2.043,1.9608,0.0,100.0,23.0,262,52,0
acc_01,머플러,acc,스테디,스테디,쇠퇴/잔존,-0.8037,0.1141,0.1274,0.9213,0.0422,0.0913,0.2023,0.2001,4.7619,1.0,100.0,17.0,262,52,2
acc_02,비니,acc,스테디,스테디,쇠퇴/잔존,0.1277,-1.0328,0.2547,0.8032,0.0225,0.0884,0.2939,0.1386,2.439,1.0,100.0,42.0,262,52,2
acc_03,버킷햇,acc,메가,메가,쇠퇴/잔존,2.1609,-1.0126,0.7049,0.5936,-0.1876,-0.03,0.355,0.2051,2.3256,0.0,100.0,30.0,262,52,1
